codigo_ibge,nome_preferido,uf
4306767,Eldorado do Sul,RS
4318408,São Jerônimo,RS
4201901,Aurora,SC
4302006,Barros Cassal,RS
4305355,Charqueadas,RS
4306056,Cristal,RS
4308805,General Câmara,RS
4314076,Passo do Sobrado,RS
4314209,Pedro Osório,RS
4315206,PUTINGA,RS
4322525,Vale Verde,RS
4322533,Vale do Sol,RS
4100301,Agudos do Sul,PR
4101309,Antonio Olinto,PR
4104105,Campo do Tenente,PR
4107405,Enéas Marques,PR
4107736,Fernandes Pinheiro,PR
4107850,Flor da Serra,PR
4108403,Francisco Beltrão,PR
4108957,Guamiranga,PR
4110102,Imbituva,PR
4110508,Ipiranga,PR
4111407,Ivaí,PR
4113205,Lapa,PR
4113908,Mallet,PR
4114351,Mafrinópolis,PR
4115408,Marmeleiro,PR
4116901,Nova Esperança,PR
4118709,Paulo Frontin,PR
4119103,Piên,PR
4119905,Ponta Grossa,PR
4120606,Prudentópolis,PR
4121505,Rebouças,PR
4122008,Rio Azul,PR
4122305,Rio Negro,PR
4122800,Salgado Filho,PR
4125100,São João do Triunfo,PR
4125605,São Mateus,PR
4127007,Teixeira Soares,PR
4200200,Agrolândia,SC
4200309,Agronômica,SC
4200606,Águas Mornas,SC
4200804,Anchieta,SC
4200903,Angelina,SC
4201109,Anitápolis,SC
4201257,Apiúna,SC
4201406,Araranguá,SC
4201505,Armazém,SC
4201604,Arroio Trinta,SC
4201802,Atalanta,SC
4201950,Balneário arroio do silva,SC
4202073,Balneario Gaivota,SC
4202081,Banderiante,SC
4202099,Barra Bonita,SC
4202156,Belmonte,SC
4202800,Braço do Norte,SC
4202859,Braço do Trombudo,SC
4203303,Campo Alegre,SC
4203956,Capivari de Baixo,SC
4204004,Catanduvas,SC
4204194,Chapadão do Lageado,SC
4204251,Cocal Do Sul,SC
4204608,Criciúma,SC
4204905,Descanso,SC
4205100,Dona Emma,SC
4205191,Ermo,SC
4205209,Erval Velho,SC
4205357,Flor do Sertão,SC
4205456,Forquilinha,SC
4205704,Garopaba,SC
4206108,Grão Pará,SC
4206207,Gravatal,SC
4206405,Guaraciaba,SC
4206702,Herval D'oeste,SC
4206900,Ibirama,SC
4207007,Içara,SC
4207205,Imaruí,SC
4207304,Imbituba,SC
4207403,Imbuia,SC
4207650,Iporã do Oeste,SC
4207759,Iraceminha,SC
4207858,Irati,SC
4208104,Itaiópolis,SC
4208401,Itapiranga,SC
4208500,Ituporanga,SC
4208609,Jabora,SC
4208708,Jacinto Machado,SC
4208807,Jaguaruna,SC
4209003,Joaçaba,SC
4209151,José Boiteux,SC
4209201,Lacerdópolis,SC
4209409,Laguna,SC
4209508,Laurentino,SC
4209607,Lauro Muller,SC
4209805,Leoberto Leal,SC
4209904,Lontras,SC
4210035,Luzerna,SC
4210050,Macieira,SC
4210100,Mafra,SC
4210407,Maracajá,SC
4210506,Maravilha,SC
4210803,Meleiro,SC
4210852,Mirin Doce,SC
4211207,Morro Da Fumaça,SC
4211256,Morro Grande,SC
4211603,Nova Veneza,SC
4211702,Orleans,SC
4211751,Otacilio Costa,SC
4211801,Ouro,SC
4211900,Palhoça,SC
4212056,Palmeira,SC
4212239,Paraíso,SC
4212304,Paulo Lopes,SC
4212403,Pedras Grandes,SC
4212650,Pescaria Brava,SC
4212700,Petrolândia,SC
4213708,Pouso redondo,SC
4213807,Praia Grande,SC
4214003,Presidente Getúlio,SC
4214102,Presidente Nereu,SC
4214508,Rio Do Campo,SC
4214607,Rio Do Oeste,SC
4214805,Rio Do Sul,SC
4214904,Rio Fortuna,SC
4215000,Rio Negrinho,SC
4215208,Romelandia,SC
4215307,Salete,SC
4215406,Salto Veloso,SC
4215455,Sangão,SC
4215554,Santa Helena,SC
4215604,Santa Rosa de Lima,SC
4215653,Santa Rosa do Sul,SC
4215679,Santa Terezinha,SC
4215703,Santo Amaro Da Imperatriz,SC
4215802,São Bento do Sul,SC
4215901,São Bonifácil,SC
4216255,São João do Oeste,SC
4216404,São João do Sul,SC
4216701,São José do Cedro,SC
4217006,São Ludgero,SC
4217204,São Miguel do Oeste,SC
4217709,Sombrio,SC
4217808,Taió,SC
4218103,Timbé do Sul,SC
4218400,Treze de Maio,SC
4218608,Trombudo Central,SC
4218707,Tubarão,SC
4218756,Tunápolis,SC
4218806,Turvo,SC
4219002,Urussanga,SC
4219200,Vidal Ramos,SC
4219358,Vitor Meireles,SC
4219408,Witmarsum,SC
4300109,Agudo,RS
4300638,Amaral Ferrador,RS
4300703,ANTA GORDA,RS
4300851,Arambaré,RS
4301008,Arroio do Meio,RS
4301073,Arroio do Padre,RS
4301107,Arroio dos Ratos,RS
4301206,Arroio do Tigre,RS
4301305,Arroio Grande,RS
4301404,ARVOREZINHA,RS
4301750,Barão do Triunfo,RS
4301909,Barra do Ribeiro,RS
4302402,Bom Retiro do Sul,RS
4302451,Boqueirão do Leão,RS
4302659,Brochier,RS
4302709,Butiá,RS
4302808,Caçapava do Sul,RS
4303004,Cachoeira do Sul,RS
4303509,Camaquã,RS
4303558,CAMARGO,RS
4304200,Candelária,RS
4304507,Canguçu,RS
4304663,Capão do leão,RS
4304689,Capela de Santana,RS
4304903,CASCA,RS
4305124,Cerrito,RS
4305132,Cerro Branco,RS
4305173,Cerro Grande do Sul,RS
4305447,Chuvisca,RS
4305587,Colinas,RS
4306205,Cruzeiro do Sul,RS
4306502,Dom Feliciano,RS
4306700,Dona Francisca,RS
4306759,DOUTOR RICARDO,RS
4306809,Encantado,RS
4306908,Encruzilhada do Sul,RS
4307500,ESPUMOSO,RS
4307807,Estrela,RS
4307815,Estrela Velha,RS
4308003,Faxinal do Soturno,RS
4308078,Fazenda Vila Nova,RS
4308300,FONTOURA XAVIER,RS
4308409,Formigueiro,RS
4308433,Forquetinha,RS
4309159,Gramado Xavier,RS
4309308,Guaíba,RS
4309571,Herveiras,RS
4309753,Ibarama,RS
4310306,ILÓPOLIS,RS
4310363,Imigrante,RS
4310538,Itaara,RS
4310579,ITAPUCA,RS
4310751,Ivorá,RS
4310876,Jacuizinho,RS
4311106,Jaguari,RS
4311130,Jari,RS
4311239,Lagoa Bonita do Sul,RS
4311254,Lagoão,RS
4311403,Lajeado,RS
4311791,Maratá,RS
4311981,Mariana Pimentel,RS
4312054,Marques de Souza,RS
4312104,Mata,RS
4312153,Mato Leitão,RS
4312252,Minas do Leão,RS
4312351,MONTAURI,RS
4312401,Montenegro,RS
4312450,Morro Redondo,RS
4312757,NOVA ALVORADA,RS
4313037,Nova Esperança do Sul,RS
4313102,Nova Palma,RS
4313391,Novo Cabrais,RS
4313953,Pantano Grande,RS
4314027,Paraiso do Sul,RS
4314068,Passa Sete,RS
4314159,Paverama,RS
4314407,Pelotas,RS
4314472,Pinhal Grande,RS
4314605,Piratini,RS
4314803,Portão,RS
4315156,Progresso,RS
4315503,Restinga Seca,RS
4315602,Rio Grande,RS
4315701,Rio Pardo,RS
4315800,Roca sales,RS
4316451,Salto do Jacui,RS
4316758,Santa Clara do Sul,RS
4316808,Santa Cruz do Sul,RS
4316907,Santa Maria,RS
4316972,Santa Margarida do Sul,RS
4317004,Santana da Boa Vista,RS
4317301,Santa Vitória do Palmar,RS
4317400,Santiago,RS
4318101,São Francisco de Assis,RS
4318309,São Gabriel,RS
4318432,São João do Polesini,RS
4318804,São Lourenço do Sul,RS
4319109,São Martinho,RS
4319604,São Sepe,RS
4319802,São vicente do Sul,RS
4320263,Segredo,RS
4320354,Sentinela do Sul,RS
4320453,Sério,RS
4320552,Sertão Santana,RS
4320651,Silveira Martins,RS
4320677,Sinimbu,RS
4320701,Sobradinho,RS
4320800,SOLEDADE,RS
4321105,Tapes,RS
4321303,Taquari,RS
4321451,Teutonia,RS
4322004,Triunfo,RS
4322152,Tunas,RS
4322327,Turuçu,RS
4322350,UNIÃO DA SERRA,RS
4322376,Unistalda,RS
4322608,Venâncio Aires,RS
4322707,Vera Cruz,RS
4323408,VILA MARIA,RS
4323457,Vila Nova do Sul,RS
